# Grid-area street view locations (lat,lon,label)
# Coordinates on public roads where power infrastructure (towers, lines, substations) is visible
38.0635,-77.7870,North Anna Nuclear - Haley Dr entrance transmission tower corridor
37.1659,-76.6970,Surry Nuclear - Route 650 entrance 500kV transmission towers
38.5376,-77.2786,Possum Point Power Station - Route 1 transmission line corridor Dumfries VA
37.3500,-77.3820,Chesterfield Power Station - Coxendale Rd 500kV transmission corridor Chester VA
36.8230,-79.7710,Clover Power Station - Route 92 transmission line Halifax County VA
39.2005,-79.2647,Mount Storm Power Station - WV-93 500kV transmission tower corridor WV
38.7300,-77.5250,Gainesville Substation - Route 29 transmission line crossing Prince William County VA
38.8550,-77.4000,Morrisville Substation - US-17 500kV transmission corridor Fauquier County VA
37.5290,-77.4360,Chesterfield Substation - Chippenham Pkwy 230kV line crossing Richmond VA
37.2750,-76.7140,Skiffes Creek Switching Station - Route 60 500kV towers James City County VA
